,SEX,VEH,SEX_S,AGE_index,AGE_S_index,PINCP_index,PINCP_S_index
634,2,2,1,13,15,8,8
635,2,2,1,12,12,5,5
636,1,0,1,14,15,3,3
637,2,1,1,9,9,4,2
638,2,2,1,14,17,8,5
639,1,1,2,12,12,8,8
640,2,2,1,13,14,8,6
641,1,2,2,10,9,8,4
642,1,2,2,9,8,3,1
643,1,1,2,10,15,8,2
644,2,2,1,10,11,8,6
645,1,2,2,9,9,8,3
646,2,1,1,10,11,5,5
647,1,2,2,12,9,8,2
648,2,1,1,10,11,5,4
649,2,1,1,17,19,8,8
650,1,1,2,8,8,4,3
651,1,1,2,10,11,5,5
652,1,3,2,17,15,3,2
653,2,0,1,9,9,4,3
654,1,1,2,9,8,8,5
655,2,2,2,9,12,5,4
656,1,1,2,8,8,4,1
657,2,2,2,10,14,5,5
658,2,1,1,10,11,6,5
659,2,1,1,9,9,7,5
660,1,2,2,10,10,8,6
661,2,2,1,9,9,8,8
662,2,2,2,13,13,8,8
663,1,2,2,13,13,5,3
664,1,2,2,10,9,6,5
665,2,1,1,12,13,1,1
666,1,2,2,11,10,8,3
667,1,2,2,17,12,8,8
668,2,1,1,13,5,4,1
669,1,2,2,11,10,7,3
670,1,2,2,9,9,8,6
671,1,1,2,9,8,5,2
672,1,0,2,8,9,4,2
673,1,1,2,9,9,5,5
674,1,2,2,10,9,3,3
675,1,1,2,10,10,8,8
676,1,2,2,9,9,8,5
677,2,2,2,12,14,8,2
678,2,2,2,9,9,5,4
679,2,2,1,20,11,8,1
680,2,1,2,16,8,6,2
681,1,0,2,10,8,3,1
682,1,0,1,10,8,3,2
683,2,2,1,9,9,8,4
684,1,2,1,11,12,8,1
685,2,1,1,9,9,6,5
686,1,1,1,9,9,8,6
687,1,2,1,8,9,4,4
688,1,1,2,18,17,8,3
689,1,0,1,8,8,4,3
690,2,2,1,10,10,5,4
691,1,2,2,14,13,6,2
692,2,1,1,10,10,8,4
693,1,1,1,11,11,8,7
694,1,1,2,7,7,2,2
695,2,2,1,13,14,8,8
696,1,1,2,10,9,6,4
697,1,2,2,17,17,8,4
698,2,0,1,10,10,6,1
699,1,2,2,10,9,8,4
700,1,2,2,12,10,7,4
701,1,2,1,9,8,5,5
702,2,3,1,13,14,5,2
703,1,3,2,9,10,5,3
704,2,2,1,19,21,5,2
705,2,2,2,13,15,8,5
706,1,2,2,12,13,8,8
707,1,2,1,10,9,8,8
708,2,1,1,10,9,3,1
709,1,2,2,12,12,8,8
710,1,1,2,10,9,8,7
711,1,2,2,10,10,4,1
712,2,2,1,11,11,8,8
713,1,2,1,12,13,6,5
714,2,1,2,9,9,6,5
715,2,1,1,9,8,5,4
716,2,2,1,10,10,5,5
717,1,3,2,14,22,6,3
718,2,2,1,10,10,8,5
719,1,0,1,10,9,2,2
720,2,2,2,9,8,3,1
721,1,2,2,14,13,8,5
722,2,1,1,15,10,8,1
723,1,2,2,11,10,8,2
724,2,2,2,11,14,6,1
725,1,0,2,11,9,8,6
726,2,2,1,10,10,8,6
727,1,2,2,12,10,5,4
728,1,2,2,14,13,6,5
729,1,0,2,11,11,5,5
730,1,1,2,10,9,8,7
731,1,1,2,12,9,8,1
732,1,1,2,9,6,5,3
733,2,1,1,10,10,5,1
734,1,2,2,11,10,8,6
735,2,2,1,10,10,6,5
736,2,2,1,15,15,8,6
737,1,3,2,15,16,3,2
738,2,1,1,9,10,5,1
739,2,3,2,11,12,8,8
740,2,1,1,9,9,3,3
741,1,0,2,10,9,2,2
742,1,2,2,10,10,7,3
743,1,1,1,15,13,8,8
744,1,2,2,10,7,6,2
745,2,1,1,9,9,5,3
746,2,2,1,11,11,7,6
747,1,2,2,9,9,8,6
748,2,1,1,11,12,7,6
749,2,0,1,10,11,7,6
750,1,1,1,9,9,3,3
751,2,2,1,12,12,8,8
752,1,1,2,14,12,6,4
753,1,2,1,11,14,8,7
754,1,1,2,10,9,5,4
755,1,2,2,15,14,8,6
756,1,2,2,16,13,6,4
757,1,1,2,10,9,5,3
758,2,3,1,12,13,5,4
759,2,2,2,9,10,7,2
760,1,2,2,17,14,6,3
761,2,1,1,10,10,8,7
762,1,1,2,12,11,8,3
763,2,2,1,10,11,6,3
764,1,2,2,11,12,8,8
765,1,2,2,10,10,4,3
766,2,1,1,12,10,1,1
767,2,0,1,14,13,8,6
768,1,1,2,11,10,8,7
769,2,1,2,11,12,6,6
770,1,2,2,11,6,5,1
771,1,2,2,15,14,4,3
772,2,1,1,9,9,5,5
773,2,3,2,9,15,5,4
774,1,2,2,9,10,8,7
775,1,2,2,13,13,5,3
776,1,0,2,11,10,7,6
777,1,2,2,13,13,4,4
778,2,2,1,15,16,2,1
779,2,1,1,11,11,5,4
780,2,2,1,9,9,6,5
781,2,1,1,13,9,5,3
782,2,1,1,11,12,6,3
783,2,2,1,15,15,6,3
784,1,2,2,15,17,8,5
785,1,2,2,12,12,8,1
786,1,2,2,10,10,6,5
787,1,1,2,16,14,3,1
788,1,1,1,11,10,4,3
789,1,2,1,12,12,8,7
790,2,2,1,9,10,6,6
791,1,0,1,9,13,4,1
792,1,2,2,17,16,7,5
793,2,1,1,12,8,5,3
794,2,0,1,10,10,5,3
795,1,2,2,11,10,8,6
796,1,2,2,10,9,8,6
797,2,1,1,9,10,8,5
798,1,3,2,10,10,8,8
799,2,2,1,9,12,5,1
800,2,1,2,10,10,6,4
801,1,2,1,10,11,7,5
802,2,0,1,10,10,3,3
803,1,2,1,9,9,5,5
804,2,1,1,9,10,3,3
805,2,1,1,10,10,5,5
806,1,1,2,14,8,5,1
807,2,1,1,16,19,5,3
808,2,2,2,10,10,5,4
809,2,2,1,11,11,7,7
810,1,4,2,15,15,8,8
811,2,2,1,11,11,5,5
812,2,4,2,12,18,6,6
813,1,2,2,10,12,8,2
814,1,1,2,11,10,3,3
815,2,2,2,9,9,6,5
816,2,2,1,11,11,5,3
817,1,1,2,9,10,8,8
818,1,1,2,9,8,4,4
819,1,0,1,7,8,3,1
820,2,2,2,11,7,8,2
821,2,2,1,10,12,8,8
822,1,2,2,10,10,8,6
823,1,1,2,12,13,8,4
824,1,1,2,15,15,6,6
825,1,1,1,10,11,4,3
826,1,1,2,10,10,8,5
827,1,2,2,9,9,6,4
828,2,2,1,12,10,8,5
829,1,2,2,9,9,8,5
830,2,0,1,9,10,4,1
831,2,1,2,15,8,3,1
832,1,1,2,9,9,6,1
833,2,2,2,11,11,7,7
834,1,3,2,14,12,5,1
835,2,2,2,9,8,4,3
836,1,0,2,9,9,8,2
837,2,2,1,9,10,5,5
838,1,3,1,10,9,5,4
839,2,2,2,10,9,4,4
840,2,1,1,18,15,6,2
841,2,2,2,10,9,5,5
842,1,2,2,9,10,8,5
843,1,0,2,10,11,5,4
844,2,2,1,13,17,8,3
845,1,1,2,8,6,3,1
846,2,2,1,13,19,8,8
847,1,2,2,20,20,8,3
848,1,2,2,9,10,8,8
849,2,3,1,9,15,8,8
850,2,2,2,9,8,4,4
851,1,0,1,9,9,4,1
852,1,1,2,17,16,8,2
853,1,1,2,7,9,3,1
854,2,2,2,11,10,8,6
855,1,2,1,9,9,5,3
856,2,2,1,8,8,3,2
857,2,2,1,12,11,6,5
858,2,2,1,15,9,4,3
859,2,1,1,13,14,6,6
